Team Number,Advisor,Problem,Ranking,Institution ID,Institution Name,City,State/Province,Country
32150,Ligong Wang,A,Outstanding Winner,21,Beihai College Of Beihang University,Beihai,Guangxi,China
34317,Qu Gong,A,Outstanding Winner,28,Beijing Jiaotong University,Beijing,,China
38996,Zhiyi Tan,D,Outstanding Winner,55,Business School Of The University Of International Business And Economics,Beijing,Beijing,China
33900,Qifen Jiang,C,Outstanding Winner,61,Capital University Of Economics And Business,Beijing,Bei Jing,China
32722,John Ringland,A,Outstanding Winner,124,Colgate University,Hamilton,Ny,Usa
32879,Bengt Fornberg,B,Outstanding Winner,144,Columbia University,New York,Ny,Usa
38720,Bengt Fornberg,B,Outstanding Winner,144,Columbia University,New York,Ny,Usa
40612,Zhenbo Wang,B,Outstanding Winner,179,Eastern Michigan University,Ypsilanti,Mi,Usa
37075,Zhenbo Wang,C,Outstanding Winner,179,Eastern Michigan University,Ypsilanti,Mi,Usa
33572,Banghe Han,C,Outstanding Winner,183,Emory University,Atlanta,Ga,Usa
34985,Daniel J Teague,D,Outstanding Winner,286,Huazhong University Of Science And Technology,Wuhan,Hubei,China
35532,Xuanyun Qin,A,Outstanding Winner,318,Institute Of Electrical Engineering And Automation; Northeastern University,Shenyang,Liaoning,China
35780,Lei Chen,D,Outstanding Winner,339,Jacksonville University,Jacksonville,Fl,Usa
35778,Lei Chen,C,Outstanding Winner,339,Jacksonville University,Jacksonville,Fl,Usa
36178,Nathan Gossett,B,Outstanding Winner,360,Jinshan College Of Fujian Agriculture And Forestry University,Fuzhou,Fujian,China
37284,Dan Wang,C,Outstanding Winner,454,Nku School Of Mathematical Science,Tianjin,Tianjin,China
38727,Brad Finney,D,Outstanding Winner,570,Sewanee: The University Of The South,Sewanee,Tennessee,Usa
39173,Andrea Bruder,B,Outstanding Winner,616,Shanghai University Of Finance & Economics,Shanghai,Shanghai,China
40764,Sanjeeva Balasuriya,A,Outstanding Winner,776,Uc Berkeley,Berkeley,Ca,Usa
